ts,symbol,last_price
1767631427118,ETHUSDT,3182.65
1767631427200,BNBUSDT,905.54
1767631427291,LTCUSDT,83.03
1767631427401,ADAUSDT,0.4135
1767631427411,XRPUSDT,2.1836
1767631427667,DOGEUSDT,0.15019
1767631427891,SOLUSDT,135.4
1767631428065,DOTUSDT,2.183
1767631428117,BTCUSDT,93806.3
1767631428128,ETHUSDT,3182.65
1767631428200,BNBUSDT,905.53
1767631428292,LTCUSDT,83.02
1767631428400,ADAUSDT,0.4136
1767631428410,XRPUSDT,2.1836
1767631428666,DOGEUSDT,0.15019
1767631428890,SOLUSDT,135.4
1767631429066,DOTUSDT,2.183
1767631429107,BTCUSDT,93806.3
1767631429119,ETHUSDT,3182.65
1767631429201,BNBUSDT,905.53
1767631429292,LTCUSDT,83.02
1767631429400,ADAUSDT,0.4136
1767631429412,XRPUSDT,2.1837
1767631429667,DOGEUSDT,0.15018
1767631429892,SOLUSDT,135.4
1767631430118,BTCUSDT,93806.3
1767631430130,ETHUSDT,3182.65
1767631430202,BNBUSDT,905.54
1767631430292,LTCUSDT,83.02
1767631430410,XRPUSDT,2.1839
1767631430946,DOGEUSDT,0.1502
1767631431015,SOLUSDT,135.4
1767631431118,BTCUSDT,93806.3
1767631431129,ETHUSDT,3182.65
1767631431291,LTCUSDT,83.04
1767631431409,XRPUSDT,2.1839
1767631431674,DOGEUSDT,0.15018
1767631431890,SOLUSDT,135.4
1767631432087,DOTUSDT,2.183
1767631432117,BTCUSDT,93806.3
1767631432130,ETHUSDT,3182.66
1767631432201,BNBUSDT,905.54
1767631432291,LTCUSDT,83.04
1767631432400,ADAUSDT,0.4136
1767631432412,XRPUSDT,2.1839
1767631432671,DOGEUSDT,0.15018
1767631432892,SOLUSDT,135.4
1767631433098,DOTUSDT,2.183
1767631433233,BTCUSDT,93806.3
1767631433233,ETHUSDT,3182.66
1767631433236,BNBUSDT,905.54
1767631433380,LTCUSDT,83.04
1767631433521,XRPUSDT,2.1843
1767631433707,DOGEUSDT,0.15018
1767631433892,SOLUSDT,135.41
1767631434149,DOTUSDT,2.183
1767631434155,BTCUSDT,93806.3
1767631434155,ETHUSDT,3182.7
1767631434200,BNBUSDT,905.54
1767631434290,LTCUSDT,83.04
1767631434402,ADAUSDT,0.4136
1767631434412,XRPUSDT,2.1843
1767631434674,DOGEUSDT,0.15019
1767631434888,SOLUSDT,135.41
1767631435070,DOTUSDT,2.183
1767631435117,BTCUSDT,93806.3
1767631435118,ETHUSDT,3183.01
1767631435202,BNBUSDT,905.53
1767631435291,LTCUSDT,83.04
1767631435410,XRPUSDT,2.1843
1767631435666,DOGEUSDT,0.15019
1767631435891,SOLUSDT,135.41
1767631436066,DOTUSDT,2.184
1767631436126,BTCUSDT,93806.3
1767631436126,ETHUSDT,3183.02
1767631436203,BNBUSDT,905.54
1767631436290,LTCUSDT,83.04
1767631436402,ADAUSDT,0.4136
1767631436413,XRPUSDT,2.1844
1767631436666,DOGEUSDT,0.1502
1767631436900,SOLUSDT,135.42
1767631437066,DOTUSDT,2.184
1767631437121,BTCUSDT,93806.3
1767631437122,ETHUSDT,3183.02
1767631437203,BNBUSDT,905.53
1767631437292,LTCUSDT,83.04
1767631437415,ADAUSDT,0.4136
1767631437429,XRPUSDT,2.1844
1767631437666,DOGEUSDT,0.1502
1767631437891,SOLUSDT,135.42
1767631438079,DOTUSDT,2.184
1767631438120,BTCUSDT,93796.2
1767631438140,ETHUSDT,3182.93
1767631438200,BNBUSDT,905.52
1767631438290,LTCUSDT,83.03
1767631438399,ADAUSDT,0.4136
1767631438408,XRPUSDT,2.1845
1767631438666,DOGEUSDT,0.1502
1767631438887,SOLUSDT,135.41
1767631439118,BTCUSDT,93796.2
1767631439118,ETHUSDT,3182.93
1767631439201,BNBUSDT,905.45
1767631439399,ADAUSDT,0.4136
1767631439410,XRPUSDT,2.1845
1767631439667,DOGEUSDT,0.1502
1767631439894,SOLUSDT,135.42
1767631440118,BTCUSDT,93796.2
1767631440130,ETHUSDT,3182.92
1767631440201,BNBUSDT,905.47
1767631440292,LTCUSDT,83.04
1767631440409,XRPUSDT,2.1845
1767631440671,DOGEUSDT,0.15026
1767631440890,SOLUSDT,135.41
1767631441066,DOTUSDT,2.184
1767631441119,BTCUSDT,93796.2
1767631441129,ETHUSDT,3182.93
1767631441201,BNBUSDT,905.46
1767631441292,LTCUSDT,83.04
1767631441402,ADAUSDT,0.4136
1767631441413,XRPUSDT,2.1844
1767631441670,DOGEUSDT,0.15026
1767631441890,SOLUSDT,135.42
1767631442066,DOTUSDT,2.183
1767631442123,BTCUSDT,93796.2
1767631442124,ETHUSDT,3182.92
1767631442224,BNBUSDT,905.46
1767631442290,LTCUSDT,83.04
1767631442402,ADAUSDT,0.4136
1767631442416,XRPUSDT,2.1841
1767631442666,DOGEUSDT,0.15026
1767631442891,SOLUSDT,135.41
1767631443066,DOTUSDT,2.183
1767631443118,BTCUSDT,93786
1767631443130,ETHUSDT,3182.5
1767631443201,BNBUSDT,905.5
1767631443296,LTCUSDT,83.04
1767631443401,ADAUSDT,0.4136
1767631443413,XRPUSDT,2.1845
1767631443671,DOGEUSDT,0.15025
1767631443892,SOLUSDT,135.41
1767631444064,DOTUSDT,2.183
1767631444118,BTCUSDT,93786
1767631444118,ETHUSDT,3182.49
1767631444200,BNBUSDT,905.51
1767631444292,LTCUSDT,83.04
1767631444400,ADAUSDT,0.4136
1767631444412,XRPUSDT,2.1845
1767631444673,DOGEUSDT,0.15022
1767631444891,SOLUSDT,135.41
1767631445064,DOTUSDT,2.183
1767631445119,BTCUSDT,93786
1767631445120,ETHUSDT,3182.49
1767631445199,BNBUSDT,905.5
1767631445292,LTCUSDT,83.04
1767631445402,ADAUSDT,0.4136
1767631445412,XRPUSDT,2.1846
